HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
1,Switzerland,0.962,84.0,16.5,13.9,"66,933",5,3
2,Norway,0.961,83.2,18.2,13.0,"64,660",6,1
3,Iceland,0.959,82.7,19.2,13.8,"55,782",11,2
4,"Hong Kong, China (SAR)",0.952,85.5,17.3,12.2,"62,607",6,4
5,Australia,0.951,84.5,21.1,12.7,"49,238",18,5
6,Denmark,0.948,81.4,18.7,13.0,"60,365",6,5
7,Sweden,0.947,83.0,19.4,12.6,"54,489",9,9
8,Ireland,0.945,82.0,18.9,11.6,"76,169",-3,8
9,Germany,0.942,80.6,17.0,14.1,"54,534",6,7
10,Netherlands,0.941,81.7,18.7,12.6,"55,979",3,10
11,Finland,0.940,82.0,19.1,12.9,"49,452",11,12
12,Singapore,0.939,82.8,16.5,11.9,"90,919",-10,10
13,Belgium,0.937,81.9,19.6,12.4,"52,293",7,16
13,New Zealand,0.937,82.5,20.3,12.9,"44,057",16,13
15,Canada,0.936,82.7,16.4,13.8,"46,808",9,15
16,Liechtenstein,0.935,83.3,15.2,12.5,"146,830",-15,14
17,Luxembourg,0.930,82.6,14.4,13.0,"84,649",-13,17
18,United Kingdom,0.929,80.7,17.3,13.4,"45,225",9,17
19,Japan,0.925,84.8,15.2,13.4,"42,274",12,19
19,Korea (Republic of),0.925,83.7,16.5,12.5,"44,501",9,20
21,United States,0.921,77.2,16.3,13.7,"64,765",-14,21
22,Israel,0.919,82.3,16.1,13.3,"41,524",10,22
23,Malta,0.918,83.8,16.8,12.2,"38,884",12,26
23,Slovenia,0.918,80.7,17.7,12.8,"39,746",10,23
25,Austria,0.916,81.6,16.0,12.3,"53,619",-8,23
26,United Arab Emirates,0.911,78.7,15.7,12.7,"62,574",-15,25
27,Spain,0.905,83.0,17.9,10.6,"38,354",10,27
28,France,0.903,82.5,15.8,11.6,"45,937",-2,28
29,Cyprus,0.896,81.2,15.6,12.4,"38,188",9,29
30,Italy,0.895,82.9,16.2,10.7,"42,840",0,32
31,Estonia,0.890,77.1,15.9,13.5,"38,048",8,30
32,Czechia,0.889,77.7,16.2,12.9,"38,745",4,30
33,Greece,0.887,80.1,20.0,11.4,"29,002",17,33
