Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,281.19,132.33,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,94.12,87.49,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,311.48,120.44,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,196.0,88.4,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1232.46,167.6,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,440.12,108.51,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1074.97,162.53,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Naledi,300-225,Africa,south,South Africa,jungle,362.97,138.79,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,660.31,155.74,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,388.1,102.91,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,446.04,127.74,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,369.47,117.91,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1184.65,173.82,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,688.08,139.71,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,749.16,137.9,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,337.21,120.71,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,295.09,95.26,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,694.51,128.35,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,424.76,123.75,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,341.85,118.97,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,951.32,173.17,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1065.21,151.35,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1101.68,159.17,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,352.2,108.59,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1078.12,157.58,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,272.8,95.27,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,736.39,144.4,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,320.74,117.36,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,294.98,104.1,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,386.24,131.31,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,555.72,107.67,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,789.87,158.7,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,479.65,117.34,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,507.28,120.29,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,892.6,150.72,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
